#entry	protocol	version	Nmodel	pLDDT	pTMScore	ipTMScore	CombinedScore	Length
1_5V1U	unpaired_ali-delim-delim	2	4	92.5	0.864	0.798	0.811	108
1_5V1U	unpaired_ali-delim-delim	2	5	92.7	0.864	0.801	0.814	108
1_5V1U	unpaired_ali-delim-delim	2	1	92.2	0.859	0.783	0.798	108
1_5V1U	unpaired_ali-delim-delim	2	2	92.4	0.864	0.797	0.810	108
1_5V1U	unpaired_ali-delim-fl	2	3	66.8	0.612	0.74	0.714	153
1_5V1U	unpaired_ali-delim-fl	2	4	68,	0.623	0.777	0.746	153
1_5V1U	unpaired_ali-delim-fl	2	5	70,	0.644	0.836	0.798	153
1_5V1U	unpaired_ali-delim-fl	2	1	68.1	0.61	0.741	0.715	153
1_5V1U	unpaired_ali-delim-fl	2	2	69.5	0.65	0.826	0.791	153
1_5V1U	single_pep-delim-delim	2	3	91.3	0.856	0.776	0.792	108
1_5V1U	single_pep-delim-delim	2	4	92.1	0.857	0.788	0.802	108
1_5V1U	single_pep-delim-delim	2	5	92.8	0.864	0.804	0.816	108
1_5V1U	single_pep-delim-delim	2	1	92.3	0.86	0.789	0.803	108
1_5V1U	single_pep-delim-delim	2	2	92.4	0.863	0.795	0.809	108
1_5V1U	single_pep-delim-100	2	3	69.1	0.606	0.739	0.712	153
1_5V1U	single_pep-delim-100	2	4	66.8	0.608	0.745	0.718	153
1_5V1U	single_pep-delim-100	2	5	69.7	0.635	0.811	0.776	153
1_5V1U	single_pep-delim-100	2	1	67.9	0.608	0.715	0.694	153
1_5V1U	single_pep-delim-100	2	2	68.6	0.622	0.78	0.748	153
1_5V1U	single_pep-delim-200	2	3	69.7	0.606	0.745	0.717	153
1_5V1U	single_pep-delim-200	2	4	67.1	0.601	0.733	0.707	153
1_5V1U	single_pep-delim-200	2	5	69.2	0.632	0.799	0.766	153
1_5V1U	single_pep-delim-200	2	1	67.5	0.601	0.697	0.678	153
1_5V1U	single_pep-delim-200	2	2	68,	0.624	0.754	0.728	153
1_5V1U	mixed_ali-delim-delim	3	3	91.4	0.857	0.781	0.796	108
1_5V1U	mixed_ali-delim-delim	3	4	92,	0.857	0.788	0.802	108
1_5V1U	mixed_ali-delim-delim	3	5	92.5	0.861	0.8	0.812	108
1_5V1U	mixed_ali-delim-delim	3	1	91.9	0.854	0.78	0.795	108
1_5V1U	mixed_ali-delim-delim	3	2	92.2	0.862	0.793	0.807	108
1_5V1U	mixed_ali-fl-fl	3	3	67.1	0.631	0.749	0.725	153
1_5V1U	mixed_ali-fl-fl	3	4	69.3	0.633	0.786	0.755	153
1_5V1U	mixed_ali-fl-fl	3	5	70.6	0.649	0.823	0.788	153
1_5V1U	mixed_ali-fl-fl	3	1	68.2	0.615	0.76	0.731	153
1_5V1U	mixed_ali-fl-fl	3	2	69.4	0.659	0.817	0.785	153
1_5V1U	mixed_ali-delim-fl	3	3	68.1	0.631	0.775	0.746	153
1_5V1U	mixed_ali-delim-fl	3	4	68.9	0.618	0.769	0.739	153
1_5V1U	mixed_ali-delim-fl	3	5	70.5	0.638	0.828	0.790	153
1_5V1U	mixed_ali-delim-fl	3	1	69,	0.632	0.807	0.772	153
1_5V1U	mixed_ali-delim-fl	3	2	70.5	0.647	0.828	0.792	153
1_5V1U	mixed_ali-delim-100	3	3	66.6	0.626	0.757	0.731	153
1_5V1U	mixed_ali-delim-100	3	4	68.7	0.621	0.774	0.743	153
1_5V1U	mixed_ali-delim-100	3	5	69.9	0.657	0.817	0.785	153
1_5V1U	mixed_ali-delim-100	3	1	67.7	0.623	0.776	0.745	153
1_5V1U	mixed_ali-delim-100	3	2	68.5	0.644	0.808	0.775	153
1_5V1U	mixed_ali-delim-200	3	3	66.8	0.634	0.754	0.730	153
1_5V1U	mixed_ali-delim-200	3	4	69,	0.634	0.786	0.756	153
1_5V1U	mixed_ali-delim-200	3	5	70.6	0.66	0.831	0.797	153
1_5V1U	mixed_ali-delim-200	3	1	68.3	0.628	0.786	0.754	153
1_5V1U	mixed_ali-delim-200	3	2	70.1	0.667	0.817	0.787	153
1_5V1U	unpaired_ali-delim-delim	3	3	91.6	0.86	0.786	0.801	108
1_5V1U	unpaired_ali-delim-delim	3	4	92.2	0.86	0.795	0.808	108
1_5V1U	unpaired_ali-delim-delim	3	5	92.8	0.864	0.804	0.816	108
1_5V1U	unpaired_ali-delim-delim	3	1	92.4	0.86	0.791	0.805	108
1_5V1U	unpaired_ali-delim-delim	3	2	92.4	0.863	0.8	0.813	108
1_5V1U	unpaired_ali-delim-fl	3	3	66.5	0.624	0.746	0.722	153
1_5V1U	unpaired_ali-delim-fl	3	4	67.8	0.625	0.773	0.743	153
1_5V1U	unpaired_ali-delim-fl	3	5	69.2	0.648	0.813	0.780	153
1_5V1U	unpaired_ali-delim-fl	3	1	68.5	0.618	0.775	0.744	153
1_5V1U	unpaired_ali-delim-fl	3	2	69.2	0.666	0.804	0.776	153
1_5V1U	single_pep-delim-delim	3	3	91.7	0.859	0.784	0.799	108
1_5V1U	single_pep-delim-delim	3	4	91.8	0.854	0.785	0.799	108
1_5V1U	single_pep-delim-delim	3	5	92.8	0.865	0.807	0.819	108
1_5V1U	single_pep-delim-delim	3	1	92.2	0.857	0.787	0.801	108
1_5V1U	single_pep-delim-delim	3	2	92.2	0.861	0.792	0.806	108
1_5V1U	single_pep-delim-100	3	3	67.8	0.604	0.716	0.694	153
1_5V1U	single_pep-delim-100	3	4	67.8	0.607	0.747	0.719	153
1_5V1U	single_pep-delim-100	3	5	69.7	0.637	0.807	0.773	153
1_5V1U	single_pep-delim-100	3	1	66.8	0.589	0.69	0.670	153
1_5V1U	single_pep-delim-100	3	2	68.2	0.618	0.774	0.743	153
1_5V1U	single_pep-delim-200	3	3	68.4	0.608	0.733	0.708	153
1_5V1U	single_pep-delim-200	3	4	67.4	0.612	0.753	0.725	153
1_5V1U	single_pep-delim-200	3	5	68.7	0.631	0.788	0.757	153
1_5V1U	single_pep-delim-200	3	1	67.1	0.597	0.693	0.674	153
1_5V1U	single_pep-delim-200	3	2	69,	0.633	0.784	0.754	153
1_5V1U	mixed_ali-delim-delim	4	3	91.8	0.861	0.781	0.797	108
1_5V1U	mixed_ali-delim-delim	4	4	92.1	0.858	0.792	0.805	108
1_5V1U	mixed_ali-delim-delim	4	5	92.9	0.865	0.805	0.817	108
1_5V1U	mixed_ali-delim-delim	4	1	92.1	0.856	0.78	0.795	108
1_5V1U	mixed_ali-delim-delim	4	2	92.4	0.863	0.798	0.811	108
1_5V1U	mixed_ali-fl-fl	4	3	68.7	0.659	0.774	0.751	153
1_5V1U	mixed_ali-fl-fl	4	4	68.8	0.63	0.781	0.751	153
1_5V1U	mixed_ali-fl-fl	4	5	70.2	0.643	0.819	0.784	153
1_5V1U	mixed_ali-fl-fl	4	1	68.3	0.629	0.786	0.755	153
1_5V1U	mixed_ali-fl-fl	4	2	69.7	0.658	0.818	0.786	153
1_5V1U	mixed_ali-delim-fl	4	3	66.2	0.631	0.744	0.721	153
1_5V1U	mixed_ali-delim-fl	4	4	68.4	0.629	0.776	0.747	153
1_5V1U	mixed_ali-delim-fl	4	5	70,	0.664	0.816	0.786	153
1_5V1U	mixed_ali-delim-fl	4	1	67.5	0.622	0.779	0.748	153
1_5V1U	mixed_ali-delim-fl	4	2	69.2	0.662	0.814	0.784	153
1_5V1U	mixed_ali-delim-100	4	3	66,	0.613	0.719	0.698	153
1_5V1U	mixed_ali-delim-100	4	4	67.9	0.617	0.764	0.735	153
1_5V1U	mixed_ali-delim-100	4	5	69.1	0.643	0.813	0.779	153
1_5V1U	mixed_ali-delim-100	4	1	68.2	0.628	0.797	0.763	153
1_5V1U	mixed_ali-delim-100	4	2	69,	0.656	0.825	0.791	153
1_5V1U	mixed_ali-delim-200	4	3	67.2	0.635	0.767	0.741	153
1_5V1U	mixed_ali-delim-200	4	4	69,	0.648	0.8	0.770	153
1_5V1U	mixed_ali-delim-200	4	5	70.1	0.66	0.83	0.796	153
1_5V1U	mixed_ali-delim-200	4	1	68.3	0.638	0.797	0.765	153
1_5V1U	mixed_ali-delim-200	4	2	69.5	0.673	0.82	0.791	153
1_5V1U	unpaired_ali-delim-delim	4	3	90.6	0.848	0.762	0.779	108
1_5V1U	unpaired_ali-delim-delim	4	4	91.8	0.854	0.78	0.795	108
1_5V1U	unpaired_ali-delim-delim	4	5	92.7	0.863	0.8	0.813	108
1_5V1U	unpaired_ali-delim-delim	4	1	91.7	0.851	0.777	0.792	108
1_5V1U	unpaired_ali-delim-delim	4	2	92.3	0.863	0.798	0.811	108
1_5V1U	unpaired_ali-delim-fl	4	3	67.6	0.64	0.769	0.743	153
1_5V1U	unpaired_ali-delim-fl	4	4	68.4	0.633	0.782	0.752	153
1_5V1U	unpaired_ali-delim-fl	4	5	70.7	0.657	0.837	0.801	153
1_5V1U	unpaired_ali-delim-fl	4	1	68.1	0.619	0.764	0.735	153
1_5V1U	unpaired_ali-delim-fl	4	2	70.9	0.679	0.815	0.788	153
1_5V1U	single_pep-delim-delim	4	3	91.1	0.854	0.773	0.789	108
1_5V1U	single_pep-delim-delim	4	4	91.8	0.855	0.787	0.801	108
1_5V1U	single_pep-delim-delim	4	5	92.8	0.864	0.805	0.817	108
1_5V1U	single_pep-delim-delim	4	1	92.4	0.86	0.793	0.806	108
1_5V1U	single_pep-delim-delim	4	2	92.5	0.864	0.802	0.814	108
1_5V1U	single_pep-delim-100	4	3	68.5	0.61	0.748	0.720	153
1_5V1U	single_pep-delim-100	4	4	67.6	0.611	0.763	0.733	153
1_5V1U	single_pep-delim-100	4	5	69.7	0.638	0.815	0.780	153
1_5V1U	single_pep-delim-100	4	1	66.8	0.598	0.704	0.683	153
1_5V1U	single_pep-delim-100	4	2	68.9	0.624	0.78	0.749	153
1_5V1U	single_pep-delim-200	4	3	68.6	0.603	0.723	0.699	153
1_5V1U	single_pep-delim-200	4	4	67.7	0.613	0.751	0.723	153
1_5V1U	single_pep-delim-200	4	5	69.5	0.634	0.805	0.771	153
1_5V1U	single_pep-delim-200	4	1	68.5	0.615	0.724	0.702	153
1_5V1U	single_pep-delim-200	4	2	68.8	0.626	0.765	0.737	153
1_5V1U	mixed_ali-delim-delim	5	3	90.8	0.85	0.768	0.784	108
1_5V1U	mixed_ali-delim-delim	5	4	92.1	0.858	0.791	0.804	108
1_5V1U	mixed_ali-delim-delim	5	5	92.4	0.862	0.804	0.816	108
1_5V1U	mixed_ali-delim-delim	5	1	92.2	0.858	0.799	0.811	108
1_5V1U	mixed_ali-delim-delim	5	2	92.3	0.865	0.801	0.814	108
1_5V1U	mixed_ali-fl-fl	5	3	66,	0.626	0.743	0.720	153
1_5V1U	mixed_ali-fl-fl	5	4	68.1	0.631	0.785	0.754	153
1_5V1U	mixed_ali-fl-fl	5	5	70.5	0.662	0.828	0.795	153
1_5V1U	mixed_ali-fl-fl	5	1	69.2	0.631	0.802	0.768	153
1_5V1U	mixed_ali-fl-fl	5	2	70.8	0.681	0.832	0.802	153
1_5V1U	mixed_ali-delim-fl	5	3	67.1	0.642	0.758	0.735	153
1_5V1U	mixed_ali-delim-fl	5	4	69.4	0.636	0.793	0.762	153
1_5V1U	mixed_ali-delim-fl	5	5	70.2	0.653	0.817	0.784	153
1_5V1U	mixed_ali-delim-fl	5	1	68.1	0.621	0.775	0.744	153
1_5V1U	mixed_ali-delim-fl	5	2	69.4	0.652	0.816	0.783	153
1_5V1U	mixed_ali-delim-100	5	3	67.6	0.647	0.752	0.731	153
1_5V1U	mixed_ali-delim-100	5	4	69.2	0.647	0.8	0.769	153
1_5V1U	mixed_ali-delim-100	5	5	69.8	0.662	0.816	0.785	153
1_5V1U	mixed_ali-delim-100	5	1	67.6	0.628	0.78	0.750	153
1_5V1U	mixed_ali-delim-100	5	2	68.9	0.657	0.808	0.778	153
1_5V1U	mixed_ali-delim-200	5	3	65.3	0.622	0.731	0.709	153
1_5V1U	mixed_ali-delim-200	5	4	68.6	0.645	0.791	0.762	153
1_5V1U	mixed_ali-delim-200	5	5	69.6	0.654	0.801	0.772	153
1_5V1U	mixed_ali-delim-200	5	1	67.6	0.624	0.781	0.750	153
1_5V1U	mixed_ali-delim-200	5	2	69.7	0.669	0.808	0.780	153
1_5V1U	unpaired_ali-delim-delim	5	3	91.4	0.857	0.778	0.794	108
1_5V1U	unpaired_ali-delim-delim	5	4	92.1	0.858	0.791	0.804	108
1_5V1U	unpaired_ali-delim-delim	5	5	92.7	0.865	0.806	0.818	108
1_5V1U	unpaired_ali-delim-delim	5	1	92,	0.855	0.781	0.796	108
1_5V1U	unpaired_ali-delim-delim	5	2	92.4	0.865	0.8	0.813	108
1_5V1U	unpaired_ali-delim-fl	5	3	67.5	0.644	0.759	0.736	153
1_5V1U	unpaired_ali-delim-fl	5	4	69.4	0.643	0.799	0.768	153
1_5V1U	unpaired_ali-delim-fl	5	5	71.3	0.675	0.831	0.800	153
1_5V1U	unpaired_ali-delim-fl	5	1	68,	0.627	0.779	0.749	153
1_5V1U	unpaired_ali-delim-fl	5	2	69.5	0.661	0.835	0.800	153
1_5V1U	single_pep-delim-delim	5	3	91.8	0.86	0.786	0.801	108
1_5V1U	single_pep-delim-delim	5	4	92.3	0.86	0.799	0.811	108
1_5V1U	single_pep-delim-delim	5	5	92.8	0.864	0.806	0.818	108
1_5V1U	single_pep-delim-delim	5	1	92.5	0.86	0.792	0.806	108
1_5V1U	single_pep-delim-delim	5	2	92.5	0.865	0.801	0.814	108
1_5V1U	single_pep-delim-100	5	3	68.3	0.602	0.735	0.708	153
1_5V1U	single_pep-delim-100	5	4	67.2	0.606	0.739	0.712	153
1_5V1U	single_pep-delim-100	5	5	69.4	0.636	0.811	0.776	153
1_5V1U	single_pep-delim-100	5	1	66,	0.589	0.676	0.659	153
1_5V1U	single_pep-delim-100	5	2	69.1	0.628	0.786	0.754	153
1_5V1U	single_pep-delim-200	5	3	70.2	0.656	0.681	0.676	153
1_5V1U	single_pep-delim-200	5	4	67.6	0.608	0.751	0.722	153
1_5V1U	single_pep-delim-200	5	5	69.8	0.637	0.808	0.774	153
1_5V1U	single_pep-delim-200	5	1	68.6	0.616	0.736	0.712	153
1_5V1U	single_pep-delim-200	5	2	68.6	0.625	0.786	0.754	153
2_6G04	mixed_ali-delim-delim	1	3	91.3	0.866	0.893	0.888	172
2_6G04	mixed_ali-delim-delim	1	4	92.7	0.878	0.911	0.904	172
2_6G04	mixed_ali-delim-delim	1	5	89.2	0.84	0.856	0.853	172
2_6G04	mixed_ali-delim-delim	1	1	93.8	0.887	0.922	0.915	172
2_6G04	mixed_ali-delim-delim	1	2	93,	0.879	0.921	0.913	172
2_6G04	mixed_ali-fl-fl	1	3	75.3	0.717	0.696	0.700	324
2_6G04	mixed_ali-fl-fl	1	4	73.5	0.712	0.702	0.704	324
2_6G04	mixed_ali-fl-fl	1	5	73.5	0.711	0.695	0.698	324
2_6G04	mixed_ali-fl-fl	1	1	74.6	0.704	0.696	0.698	324
2_6G04	mixed_ali-fl-fl	1	2	74.4	0.714	0.7	0.703	324
2_6G04	mixed_ali-delim-fl	1	3	80.3	0.778	0.811	0.804	271
2_6G04	mixed_ali-delim-fl	1	4	79.3	0.78	0.811	0.805	271
2_6G04	mixed_ali-delim-fl	1	5	80.3	0.789	0.841	0.831	271
2_6G04	mixed_ali-delim-fl	1	1	79.4	0.773	0.831	0.819	271
2_6G04	mixed_ali-delim-fl	1	2	81.8	0.791	0.835	0.826	271
2_6G04	mixed_ali-delim-100	1	3	80.3	0.771	0.802	0.796	271
2_6G04	mixed_ali-delim-100	1	4	78.1	0.764	0.788	0.783	271
2_6G04	mixed_ali-delim-100	1	5	79.3	0.778	0.814	0.807	271
2_6G04	mixed_ali-delim-100	1	1	79,	0.772	0.827	0.816	271
2_6G04	mixed_ali-delim-100	1	2	81.2	0.783	0.811	0.805	271
2_6G04	mixed_ali-delim-200	1	3	80.4	0.778	0.813	0.806	271
2_6G04	mixed_ali-delim-200	1	4	79.5	0.781	0.809	0.803	271
2_6G04	mixed_ali-delim-200	1	5	79.8	0.784	0.825	0.817	271
2_6G04	mixed_ali-delim-200	1	1	80,	0.77	0.824	0.813	271
2_6G04	mixed_ali-delim-200	1	2	81.6	0.787	0.828	0.820	271
2_6G04	unpaired_ali-delim-delim	1	3	86.4	0.822	0.729	0.748	172
2_6G04	unpaired_ali-delim-delim	1	4	87.9	0.83	0.783	0.792	172
2_6G04	unpaired_ali-delim-delim	1	5	87.3	0.825	0.785	0.793	172
2_6G04	unpaired_ali-delim-delim	1	1	88.2	0.83	0.727	0.748	172
2_6G04	unpaired_ali-delim-delim	1	2	88,	0.833	0.789	0.798	172
2_6G04	unpaired_ali-delim-fl	1	3	81.7	0.787	0.805	0.801	271
2_6G04	unpaired_ali-delim-fl	1	4	73.6	0.684	0.793	0.771	271
2_6G04	unpaired_ali-delim-fl	1	5	79.7	0.772	0.808	0.801	271
2_6G04	unpaired_ali-delim-fl	1	1	73.7	0.664	0.822	0.790	271
2_6G04	unpaired_ali-delim-fl	1	2	81.8	0.795	0.82	0.815	271
2_6G04	single_pep-delim-delim	1	3	90.6	0.858	0.88	0.876	172
2_6G04	single_pep-delim-delim	1	4	92.7	0.881	0.898	0.895	172
2_6G04	single_pep-delim-delim	1	5	91.6	0.864	0.883	0.879	172
2_6G04	single_pep-delim-delim	1	1	92.4	0.873	0.897	0.892	172
2_6G04	single_pep-delim-delim	1	2	92.7	0.879	0.893	0.890	172
2_6G04	single_pep-delim-100	1	3	69.3	0.642	0.802	0.770	271
2_6G04	single_pep-delim-100	1	4	63.8	0.598	0.227	0.301	271
2_6G04	single_pep-delim-100	1	5	71.3	0.68	0.822	0.794	271
2_6G04	single_pep-delim-100	1	1	66.5	0.596	0.21	0.287	271
2_6G04	single_pep-delim-100	1	2	71.2	0.674	0.834	0.802	271
2_6G04	single_pep-delim-200	1	3	69,	0.656	0.814	0.782	271
2_6G04	single_pep-delim-200	1	4	63.5	0.596	0.216	0.292	271
2_6G04	single_pep-delim-200	1	5	70.3	0.656	0.816	0.784	271
2_6G04	single_pep-delim-200	1	1	70.3	0.647	0.841	0.802	271
2_6G04	single_pep-delim-200	1	2	61.7	0.597	0.207	0.285	271
2_6G04	mixed_ali-delim-delim	2	3	88.7	0.841	0.856	0.853	172
2_6G04	mixed_ali-delim-delim	2	4	92.8	0.879	0.909	0.903	172
2_6G04	mixed_ali-delim-delim	2	5	87.7	0.823	0.829	0.828	172
2_6G04	mixed_ali-delim-delim	2	1	92.7	0.874	0.911	0.904	172
2_6G04	mixed_ali-delim-delim	2	2	92.3	0.872	0.915	0.906	172
2_6G04	mixed_ali-fl-fl	2	3	75.1	0.716	0.694	0.698	324
2_6G04	mixed_ali-fl-fl	2	4	73.2	0.71	0.698	0.700	324
2_6G04	mixed_ali-fl-fl	2	5	73.7	0.715	0.696	0.700	324
2_6G04	mixed_ali-fl-fl	2	1	74.1	0.714	0.69	0.695	324
2_6G04	mixed_ali-fl-fl	2	2	74.5	0.712	0.696	0.699	324
2_6G04	mixed_ali-delim-fl	2	3	82,	0.792	0.822	0.816	271
2_6G04	mixed_ali-delim-fl	2	4	79.4	0.778	0.808	0.802	271
2_6G04	mixed_ali-delim-fl	2	5	80.7	0.779	0.829	0.819	271
2_6G04	mixed_ali-delim-fl	2	1	80.3	0.77	0.828	0.816	271
2_6G04	mixed_ali-delim-fl	2	2	82,	0.791	0.833	0.825	271
2_6G04	mixed_ali-delim-100	2	3	80.5	0.779	0.811	0.805	271
2_6G04	mixed_ali-delim-100	2	4	78.4	0.767	0.797	0.791	271
2_6G04	mixed_ali-delim-100	2	5	79.6	0.778	0.824	0.815	271
2_6G04	mixed_ali-delim-100	2	1	80.7	0.792	0.833	0.825	271
2_6G04	mixed_ali-delim-100	2	2	81.7	0.789	0.827	0.819	271
2_6G04	mixed_ali-delim-200	2	3	80.8	0.782	0.813	0.807	271
2_6G04	mixed_ali-delim-200	2	4	80.6	0.793	0.84	0.831	271
2_6G04	mixed_ali-delim-200	2	5	80.4	0.782	0.846	0.833	271
2_6G04	mixed_ali-delim-200	2	1	81,	0.796	0.841	0.832	271
2_6G04	mixed_ali-delim-200	2	2	81.8	0.791	0.831	0.823	271
2_6G04	unpaired_ali-delim-delim	2	3	86.7	0.824	0.73	0.749	172
2_6G04	unpaired_ali-delim-delim	2	4	87.8	0.829	0.783	0.792	172
2_6G04	unpaired_ali-delim-delim	2	5	87.8	0.829	0.782	0.791	172
2_6G04	unpaired_ali-delim-delim	2	1	88.6	0.833	0.722	0.744	172
2_6G04	unpaired_ali-delim-delim	2	2	87.9	0.832	0.784	0.794	172
2_6G04	unpaired_ali-delim-fl	2	3	81.5	0.785	0.796	0.794	271
2_6G04	unpaired_ali-delim-fl	2	4	78.9	0.77	0.811	0.803	271
2_6G04	unpaired_ali-delim-fl	2	5	79.8	0.776	0.805	0.799	271
2_6G04	unpaired_ali-delim-fl	2	1	78.9	0.763	0.802	0.794	271
2_6G04	unpaired_ali-delim-fl	2	2	81.2	0.793	0.817	0.812	271
2_6G04	single_pep-delim-delim	2	3	91.8	0.871	0.886	0.883	172
2_6G04	single_pep-delim-delim	2	4	93.3	0.887	0.901	0.898	172
2_6G04	single_pep-delim-delim	2	5	91.8	0.866	0.883	0.880	172
2_6G04	single_pep-delim-delim	2	1	93,	0.88	0.899	0.895	172
2_6G04	single_pep-delim-delim	2	2	92.8	0.88	0.891	0.889	172
